Name	Description	Adipose-Subcutaneous	Adipose-Visceral	Adrenal-Gland	Artery-Aorta	Artery-Coronary	Artery-Tibial	Bladder	Brain-Amygdala	Brain-Anterior-cingulate-cortex	Brain-Caudate	Brain-Cerebellar-Hemisphere	Brain-Cerebellum	Brain-Cortex	Brain-Frontal-Cortex	Brain-Hippocampus	Brain-Hypothalamus	Brain-Nucleus-accumbens	Brain-Putamen	Brain-Spinal-cord	Brain-Substantia-nigra	Breast-Mammary-Tissue	Cells-Cultured-fibroblasts	Cells-EBV-transformed-lymphocytes	Cervix-Ectocervix	Cervix-Endocervix	Colon-Sigmoid	Colon-Transverse	Esophagus-Gastroesophageal-Junction	Esophagus-Mucosa	Esophagus-Muscularis	Fallopian-Tube	Heart-Atrial-Appendage	Heart-Left-Ventricle	Kidney-Cortex	Kidney-Medulla	Liver	Lung	Minor-Salivary-Gland	Muscle-Skeletal	Nerve-Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin-Not-Sun-Exposed	Skin-Sun-Exposed	Small-Intestine-Terminal-Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole-Blood
ENSG00000231702.2	RP11-54O7.10	0	0	0	0	0.283146	0.391011	0.310424	0	0	0	0	0	0	0	0	0	0.151468	0	0	0	0	0	0	0.459078	0	0	0	0	0	0	0.44716	0.156271	0.168333	0	0	0	0	0	0	0	0	0	0.281195	0.306323	0	0.21265	0	0	0	0	0	0.416587	0.316954	0
ENSG00000269737.2	RP11-345P4.6	3.34309	2.00978	1.85097	3.00313	2.43979	2.29104	3.42336	0.402913	0.384941	0.549488	3.87702	5.45474	0.885942	0.532798	0.440511	0.598721	0.550003	0.350215	0.968806	0.411932	3.47591	1.94626	4.18024	5.38252	6.59244	2.75103	2.44536	2.60397	1.75255	2.45901	3.62391	1.06094	0.597764	0.971287	1.03561	0.776909	3.73686	3.06828	0.625547	5.00892	5.70632	1.37219	3.68802	3.74475	3.20953	3.17603	3.89308	3.55819	2.14466	1.6862	4.94078	5.46943	4.43361	1.1366
ENSG00000227775.3	RP1-283E3.4	6.99571	4.23229	5.82835	6.67364	5.98258	5.08664	8.89393	2.56038	3.71391	2.84571	14.0814	17.0177	5.90896	5.01043	2.79159	2.8662	3.60489	2.03861	3.18848	1.92174	7.47998	6.53102	7.70082	12.6539	17.7493	8.28067	7.3414	6.85627	4.54424	6.37047	10.3484	2.58858	1.72931	3.44712	3.24142	1.96443	7.34851	7.51201	2.53787	9.26281	15.1434	3.31412	12.185	10.0445	6.53225	7.26499	9.16892	9.9918	5.99512	4.3137	12.687	14.998	9.06028	3.06249
ENSG00000269896.2	RP4-740C4.5	1.52991	1.55926	1.43886	1.19975	1.4611	1.108	2.48056	1.29481	2.07203	1.88793	28.3046	30.5097	3.58974	3.21222	1.43683	1.7119	1.95354	1.30277	0.773662	0.829355	2.01141	0.833285	0.791478	2.55941	5.09399	2.53999	2.36705	2.16652	1.72785	2.49929	3.66088	0.699655	0.443118	2.25467	3.95827	0.802987	2.24255	2.34277	0.418187	2.45258	4.28394	1.36236	11.0143	6.26204	2.40817	2.36599	2.14312	2.57456	1.44109	10.7835	8.9473	3.71073	2.44203	0.349875
ENSG00000229519.2	RP11-58A11.2	0.414926	0.256807	0.356142	0.187723	0.15089	0.0974316	0.13575	0.105821	0.104532	0.0954635	0.478083	0.518742	0.124184	0.133197	0.0785969	0.104613	0.105701	0.076656	0.0980597	0.0752406	0.440591	0.471384	0.570042	0.248429	0.196618	0.184844	0.330358	0.311238	0.244531	0.252159	0.316852	0.0723229	0.0692691	0.0989575	0.0683279	0.0987701	0.269568	0.32915	0.0442626	0.432463	0.439184	0.384474	0.232834	0.192004	0.498092	0.40293	0.555944	0.44171	0.403088	0.218121	0.397554	0.440432	0.181192	0
ENSG00000227950.1	RP11-312B8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234619.1	RPL7P11	0.0628299	0.0676962	0.0469011	0	0.0531779	0.0731389	0	0	0	0	0.0582489	0.0723092	0	0	0	0	0	0	0	0	0.065899	0.0691852	0.128331	0	0.0465169	0.0547609	0.0385542	0.0456109	0.0503717	0.050224	0	0	0	0.0232486	0.0442298	0	0.0472651	0.0597803	0	0.0793872	0.159594	0.0314245	0.046147	0.0582361	0.0824896	0.0885326	0.0452015	0.0424167	0.0410506	0.0572112	0.0670059	0.0791533	0.0888195	0
ENSG00000224315.2	RPL7P7	0.052161	0.0551115	0.0329433	0	0	0.0433664	0.0387167	0	0	0.0340389	0.142548	0.176484	0	0	0	0.0280856	0.0258356	0	0	0	0.0571968	0.0510036	0.103108	0.21483	0.150797	0.0594357	0.0368848	0.0460658	0.0522849	0.0444005	0	0	0	0.0374667	0.0184123	0	0.044537	0.0581348	0	0.0568223	0.129615	0	0.0627245	0.0873449	0.0704163	0.0604485	0.0486027	0.0597164	0	0.117744	0.0713059	0.0819816	0.0822994	0
ENSG00000231181.1	RP13-15M17.1	0.834085	0.733608	0.340262	0.28706	0.340581	0.18424	0.254898	0.212942	0.27726	0.45848	0.134451	0.273961	0.389255	0.388174	0.183847	0.305073	0.324535	0.244522	0.299061	0.237828	1.11	0.826645	1.03672	0.703946	0.426589	0.438322	0.726623	0.637019	0.552305	0.513873	0.919786	0.423275	0.21055	0.297727	0.65381	1.00307	0.628725	1.31607	0.581056	0.976526	1.1524	0.329968	1.25167	0.743915	0.722977	0.445349	0.746367	0.594368	0.73391	1.39486	1.40208	0.720671	0.533741	0.0753053
ENSG00000233268.3	RP11-558F24.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0601582
ENSG00000271264.1	MZT1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224340.1	RP11-496H15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17278	0.175813	0	0	0	0	0	0	0	0
ENSG00000233623.2	PGAM1P11	0.0594082	0.0419132	0.0336091	0.100527	0.0534051	0	0.0835881	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06886	0.041788	0.100643	0.0796635	0.22348	0	0.0626653	0	0.113962	0	0.0843835	0	0	0.0242731	0	0.0286995	0.142313	0.133146	0	0.0472855	0.0841195	0.0425373	0.0592165	0.110573	0.423425	0.360404	0.124277	0.0941449	0.0378281	0.102423	0.0799256	0.0774141	0.173087	0
ENSG00000238173.1	RPL39P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238199.1	UBE2V2P3	0.135013	0.0741224	0.0752598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122628	0.133203	0.188049	0.108746	0.0926056	0.0740479	0.117747	0.0763316	0.0750108	0.0835646	0.154907	0	0	0	0.0296198	0	0.0972249	0.161766	0	0.162079	0.224296	0.135138	0.0756347	0.0869295	0.194778	0.138305	0.270628	0.153922	0.127113	0.200274	0.127593	0.124584	0	0
ENSG00000227875.2	RPL23AP89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.243703	0	0	0	0	0	0	0	0	0	0	0	0.0422454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235829.1	TBCAP2	0	0	0	0	0	0	0	0	0	0	0.122386	0.282335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215720.4	RP1-21O18.3	0	0	0	0	0	0	0	0.0931645	0.0889468	0.0540817	0.0726619	0.163105	0.0599898	0.0388508	0.0667116	0	0.0530492	0.0404959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0543082	0.0561631	0	0	0	0	0	0	0.0729371	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234607.2	RP11-5P18.1	0	0	0	0	0	0	0	0	0	0	0	0.133921	0	0	0	0	0	0.0328607	0.0513997	0	0	0	0	0	0.0357689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0750122	0	0	0	0	0	0.0570749	0.0582259	0	0.0768014	0.0693533	0	0	0
ENSG00000226457.1	RP11-430L17.1	0.18874	0.145662	0.121089	0.264954	0.164051	0.22448	0.0911712	0.0711985	0.0655934	0.0627582	0.150882	0.179423	0.071389	0.0785239	0.0620449	0.082794	0.0675289	0.0600181	0.111163	0.0819831	0.173793	0.370165	0.319285	0.249459	0.0547863	0.147643	0.138207	0.13881	0.155434	0.123291	0.269712	0.0597062	0.0303173	0.0988179	0.155227	0	0.149937	0.115106	0.102925	0.189793	0.278941	0.0774181	0.10884	0.164637	0.23928	0.228859	0.14579	0.185596	0.12638	0.825732	0.158867	0.171009	0.163661	0.085749
ENSG00000226396.1	RP5-1056L3.3	4.91523	7.77771	4.15408	6.85231	6.60932	5.69227	8.3609	2.13189	1.64297	1.86123	11.528	9.33462	2.00588	2.0439	2.34257	2.64835	1.79985	1.57823	4.04065	2.1905	6.44425	3.38306	6.61841	16.2169	17.6949	7.37399	7.88934	7.94816	6.19195	6.78101	10.0889	4.76008	3.10337	8.4773	14.8278	3.24153	12.5329	5.04407	1.50451	6.58872	24.0212	2.52259	15.5364	30.055	6.9253	5.77678	7.64207	11.4939	4.346	14.0962	10.4943	11.9267	13.7802	3.53449
ENSG00000233072.1	RPS15AP6	0	0.0844954	0	0	0	0	0	0.0903265	0.0926915	0.123231	0.253758	0.0881925	0.0717099	0.100357	0.0776775	0.121406	0.0939715	0.101671	0.115501	0.105982	0	0	0	0.285738	0.284579	0	0.0631763	0	0	0	0	0	0	0	0.0559614	0	0.119607	0	0	0.108272	0	0	0.213715	0.214838	0.110368	0	0	0.221459	0	0.316702	0.251315	0	0.136439	0
ENSG00000236073.2	RP11-487E1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235112.1	HSPE1P27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128888	0	0	0	0
ENSG00000176378.8	PFN1P10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231978.2	RP11-132G19.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0350898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232037.3	RP11-26H16.1	0.157377	0.123188	0.0976873	0.155575	0.168951	0.204564	0.105341	0.0459508	0.0427914	0.0141234	0.0813252	0.0964943	0.0457167	0.0482481	0	0	0.0534911	0	0.0404155	0.0419097	0.144513	0.119348	0.169656	0.203189	0.12563	0.176888	0.110015	0.178735	0.0925726	0.166968	0.106377	0.0806109	0.0537402	0.0725011	0.149245	0.00663577	0.13268	0.0988652	0.0656404	0.281148	0.276095	0.113838	0.107285	0.168507	0.154153	0.140529	0.105345	0.105336	0.0954126	0.0781596	0.193632	0.234522	0.15765	0
ENSG00000271428.1	RP1-224A6.8	0.182939	0.1311	0.0765304	0.0887794	0.0741662	0	0.136157	0	0	0	0.0790159	0.154356	0	0	0	0	0	0	0	0	0.184543	0.144814	0.249717	0.15474	0.267689	0.133496	0.137215	0.080332	0.147034	0.0796183	0.138718	0.0534302	0	0.0496775	0.0681431	0	0.256635	0.266778	0	0.287547	0.388386	0.0907084	0.172969	0.142953	0.743541	0.571041	0.243102	0.20226	0.168612	0.195927	0.233335	0.259881	0.33537	0.099979
ENSG00000232482.2	RP4-654C18.1	0	0	0.0732241	0	0	0	0.094416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233849	0	0	0.0946249	0	0	0	0	0	0	0	0.0390303	0.0527605	0	0.243081	0	0	0.193953	0.136046	0	0.180862	0.0889949	0.0923896	0	0	0	0	0.0905173	0	0.111638	0
ENSG00000229106.1	BTBD6P1	0.0280736	0.0278486	0	0.0297841	0.0289368	0	0	0	0.018303	0	0	0	0.0241834	0.0261831	0	0	0	0	0	0	0	0	2.71685	0	0.0241579	0	0.0472869	0	0.030537	0	0.0416455	0	0	0.0164385	0	0	0.050157	0	0	0	0	0	0	0.0270599	0	0	0.353414	2.18591	0	0.228026	0.242058	0	0	0.263222
ENSG00000229786.1	SNRPFP2	0	0	0	0	0	0	0	0.0900459	0.126561	0	1.03472	1.15853	0.331102	0.221885	0.113623	0.222446	0	0	0.554229	0.129795	0	0	0.116146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.678093	0.261592	0	0.128678	0	0.144822	0.161324	0	0	0	5.79808	0	0.198094	0	0
ENSG00000223624.1	RP1-125I3.4	0	0	0	0	0	0	0	0	0	0	0.355706	0.455915	0	0	0	0	0	0	0.191774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.319552	0	0	0	0	0	0	0	0	0	2.41527	0	0	0	0
ENSG00000270733.1	RP11-231P20.5	0	0	0	0	0	0	0.0760275	0	0	0	0.220078	0.234946	0.0711345	0.0880243	0	0.0933938	0.0609714	0	0.0915311	0.0598413	0	0.0341343	0.308632	0	0	0	0	0	0.147561	0	0	0.412703	0.59801	0	0	0	0.100475	0.0872809	1.13268	0.323388	0	0	0.110717	0	0.108786	0	0	0.0909978	0	0.421396	0.130421	0	0	0
ENSG00000225854.2	RP11-569G9.7	0	0	0	0	0	0	0.164277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102253	0	4.6939	0	0	0	0	0	0.0901114	0	0	0.142209	0	0	0	0	0	0	4.75696	3.83703	0.538907	0.0941538	0	0.352249	0	0	2.35196	0
ENSG00000223583.1	RP3-476K8.4	0.369926	0.314276	0.234701	0.222364	0.269577	0.200471	0.243349	0.0488895	0.0478899	0.0733962	0.42394	0.463236	0.0687624	0.0573966	0.0523577	0.0767988	0.0597696	0.0448694	0.0660848	0.0727184	0.419692	0.382361	0.500939	0.612938	0.533967	0.257832	0.419374	0.235543	0.341009	0.200418	0.480188	0.107315	0.0792621	0.13599	0.220752	0.117494	0.339146	0.416864	0.0331763	0.44608	0.848459	0.231551	0.6815	0.40118	0.381503	0.377923	0.526532	0.513963	0.279994	0.736239	0.596457	0.497312	0.43233	0.125873
ENSG00000241547.1	ACTG1P20	1.31274	1.57581	1.18092	1.63012	1.6837	1.28009	1.65526	0.318173	0.37316	0.457758	3.32035	3.64941	0.556827	0.481906	0.367218	0.499569	0.46791	0.291688	0.651937	0.362393	1.4426	3.43557	3.34247	3.61867	2.40053	1.31054	1.20682	1.31899	2.20641	1.2831	2.69031	0.64695	0.391493	0.731095	0.585095	0.443481	1.93853	1.98409	0.272496	2.0215	3.25447	0.701649	2.38896	1.81863	1.80435	1.48517	1.71203	1.28616	1.31199	1.57249	2.59607	2.7024	2.32178	0.404404
ENSG00000231344.1	RP3-426I6.2	0.384655	0.411273	0.284718	0.42416	0.39841	0.36425	0.32573	0	0.0356977	0.0662459	0.155589	0.129453	0.0589772	0	0.0785986	0.110222	0.0707767	0	0	0.0700828	0.34715	0.343009	0.370444	0.78803	0.307085	0.314035	0.272074	0.335519	0.488596	0.379492	0.364062	0.0948881	0.0775747	0.216596	0.341154	0.160069	0.629921	0.29227	0.0750898	0.313657	0.322838	0.118785	1.3363	0.464903	0.451725	0.402855	0.255404	0.338349	0.248025	0.74827	0.664124	0.364516	0.499767	0.0747382
ENSG00000230833.1	RPEP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0459417	0	0	0	0	0.0979512	0	0	0	0
ENSG00000238231.2	RP11-460I13.6	0.758621	0.722871	0.212028	1.03444	0.740373	0.566228	1.09595	0.07321	0.0580753	0.0922174	0.183244	0.239536	0.0775663	0.0638763	0.105424	0.110216	0.0717347	0.061513	0.349479	0.132825	0.877842	0.225073	0.393806	1.94839	2.10024	0.384863	0.35021	0.387328	0.975491	0.377064	0.692413	0.515122	0.132126	0.861294	1.33101	0.385965	1.40549	1.20635	0.0840879	1.44588	1.14816	0.207105	0.710632	1.38149	1.32147	0.957139	0.366153	0.669248	0.34815	1.17368	1.17246	0.980566	2.32557	0.485152
ENSG00000229820.2	RP1-308E4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106689	0.191657	0	0.0801554	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121463	0.0415263	0	0	0	0.104789	0.0682366	0	0	0	0.0600596	0	0.117593	0.0813808	0
ENSG00000231468.2	PRDX3P2	0.087629	0.118822	0.127	0	0.0195177	0	0.108747	0	0	0	0.174344	0.188345	0	0	0	0	0	0	0	0	0.131833	0.367028	0.456581	0.247178	0.197096	0.0787876	0.129195	0.0723663	0.213089	0.073417	0.0840919	0.0370755	0	0.0288347	0.0624747	0.121872	0.155298	0.251644	0.0368471	0.156315	0.198856	0.0801402	0.0757015	0.16645	0.121185	0.102577	0.184007	0.179636	0.101019	0.30753	0.197797	0.172805	0.208265	0
ENSG00000225616.2	RP4-604A21.1	0	0.0961409	0	0	0	0	0.10037	0	0	0	0.291091	0.227729	0	0	0	0	0	0	0	0	0	0.131333	0.188692	0.148248	0	0	0	0	0.0962239	0	0.102257	0	0	0	0.0716509	0	0.111348	0	0	0	0.175827	0	0	0.105574	0.109531	0.107177	0.0903326	0.135328	0	0.0911964	0	0.11896	0.135802	0
ENSG00000237329.2	RP11-201O14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08556	0	0	0	0	0	0	0	0	0
ENSG00000232768.1	RP11-201O14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229447.2	RP11-490K7.4	2.65696	1.6788	1.23036	2.62446	2.27241	2.28214	2.44501	0.529845	0.489773	0.633216	5.07104	5.29372	0.688094	0.595852	0.653932	0.732384	0.61929	0.448788	1.7823	0.843556	2.85277	0.87897	2.14208	4.90887	3.83387	1.82978	1.42764	1.75377	1.16112	1.5258	3.38264	1.20988	0.501735	0.642176	1.05046	0.685268	3.03817	1.70224	0.675152	6.14183	4.21972	0.771173	2.37407	2.56998	3.11349	2.89688	1.85014	2.01505	1.18588	1.71217	2.99439	3.804	3.6195	0.321031
ENSG00000227000.2	HSPD1P14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229994.1	RPL5P4	4.54481	4.88561	4.40907	5.34191	5.13513	5.95125	5.35832	1.14452	0.93606	1.09095	2.66946	2.31579	0.914717	1.02483	1.02365	1.36884	1.30907	0.918571	1.7738	1.26553	5.42087	7.46639	7.25326	7.62799	8.08845	5.75242	4.04927	5.20052	5.71245	4.93718	6.67005	1.59905	1.06201	2.62509	3.61982	1.88832	4.0312	4.77702	1.31914	3.77189	12.1625	3.69146	4.57811	6.29909	4.32259	3.93914	3.69749	3.93004	3.84903	1.98731	8.17069	7.46464	5.85346	0.914754
ENSG00000231849.1	UBE2V2P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232273.1	FTH1P1	0.86638	0.444481	0.190873	0.432052	0.296471	0.315612	0.396094	0.0849307	0.0606493	0.0535799	0.144961	0.257645	0.11688	0.0911487	0.065179	0.0695957	0.0590814	0.0493286	0.149257	0.0518151	0.851849	0.253481	0.357762	0.496795	0.359897	0.281598	0.326272	0.268458	0.264421	0.245476	0.579475	0.18104	0.0751796	0.191596	0.170158	0.154594	0.783442	0.507402	0.132094	0.841631	0.671165	0.205411	0.300336	0.539513	1.31145	1.21995	0.550123	0.43666	0.28863	0.826252	0.600507	0.498257	0.711005	0.31066
ENSG00000235673.1	RP11-109P14.8	0	0	0.0395435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0187321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0528274	0	0	0	0
ENSG00000217897.2	HSPE1P8	0	0	0	0	0	0	0	0	0	0	0.122364	0.205241	0	0	0	0	0	0	0	0	0	0	0	0.227723	0.0699233	0	0	0	0	0	0	0	0	0	0	0	0.136734	0	0	0	0	0	0	0	0.303245	0.185305	0	0	0	0	0.101674	0	0	0
