"tissue"	"wilcox.p.value"	"p.value.adjust"
"Minor.Salivary.Gland"	3.93616530519881e-09	1.81063604039145e-07
"Skin.Not.Sun.Exposed"	1.86561044534842e-08	8.58180804860275e-07
"Skin.Sun.Exposed"	4.6415706617803e-08	2.13512250441894e-06
"Nerve.Tibial"	2.25385279418879e-07	1.03677228532684e-05
"Lung"	1.17749443009798e-06	5.41647437845071e-05
"Adipose.Subcutaneous"	2.9786465035794e-06	0.000137017739164653
"Breast.Mammary.Tissue"	3.35110719627833e-06	0.000154150931028803
"Small.Intestine.Terminal.Ileum"	4.73729773094188e-06	0.000217915695623326
"Stomach"	8.45073478557338e-06	0.000388733800136375
"Esophagus.Mucosa"	1.12172852936949e-05	0.000515995123509966
"Adipose.Visceral"	1.23607688083083e-05	0.000568595365182184
"Vagina"	1.98609826410174e-05	0.0009136052014868
"Colon.Transverse"	4.20192613380827e-05	0.0019328860215518
"Ovary"	4.59731504679076e-05	0.00211476492152375
"Prostate"	7.00855915702638e-05	0.00322393721223213
"Adrenal.Gland"	0.00012458444179085	0.00573088432237908
"Heart.Left.Ventricle"	0.000146852642919985	0.00675522157431933
"Liver"	0.000193463779972594	0.00889933387873933
"Uterus"	0.000288645693703122	0.0132777019103436
"Thyroid"	0.000326809586921428	0.0150332409983857
"Heart.Atrial.Appendage"	0.000828895969608922	0.0381292146020104
"Pancreas"	0.000888856504602721	0.0408873992117252
"Artery.Coronary"	0.00159063428147599	0.0731691769478954
"Pituitary"	0.00329096291261651	0.151384293980359
"Spleen"	0.00364904037573764	0.167855857283931
"Colon.Sigmoid"	0.00382228936095549	0.175825310603952
"Artery.Tibial"	0.00433965762880938	0.199624250925231
"Testis"	0.00836650139541265	0.384859064188982
"Esophagus.Gastroesophageal.Junction"	0.00957803050073705	0.440589403033904
"Esophagus.Muscularis"	0.00980269157971963	0.450923812667103
"Artery.Aorta"	0.0107027013011622	0.492324259853462
"Brain.Amygdala"	0.249998701793705	1
"Brain.Anterior.cingulate.cortex"	0.3416932641865	1
"Brain.Caudate"	0.4862342572638	1
"Brain.Cerebellar.Hemisphere"	0.539736178023227	1
"Brain.Cerebellum"	0.244658539797006	1
"Brain.Cortex"	0.0605572092402149	1
"Brain.Frontal.Cortex"	0.232577042945547	1
"Brain.Hippocampus"	0.0574557878528954	1
"Brain.Hypothalamus"	0.175105292622534	1
"Brain.Nucleus.accumbens"	0.714990141503496	1
"Brain.Putamen"	0.779590055655762	1
"Brain.Spinal.cord"	0.0318657384166975	1
"Brain.Substantia.nigra"	0.0537544560793048	1
"Muscle.Skeletal"	0.0825317085813143	1
"Whole.Blood"	0.0771947275852745	1
