Name	Description	Adipose-Subcutaneous	Adipose-Visceral	Adrenal-Gland	Artery-Aorta	Artery-Coronary	Artery-Tibial	Bladder	Brain-Amygdala	Brain-Anterior-cingulate-cortex	Brain-Caudate	Brain-Cerebellar-Hemisphere	Brain-Cerebellum	Brain-Cortex	Brain-Frontal-Cortex	Brain-Hippocampus	Brain-Hypothalamus	Brain-Nucleus-accumbens	Brain-Putamen	Brain-Spinal-cord	Brain-Substantia-nigra	Breast-Mammary-Tissue	Cells-Cultured-fibroblasts	Cells-EBV-transformed-lymphocytes	Cervix-Ectocervix	Cervix-Endocervix	Colon-Sigmoid	Colon-Transverse	Esophagus-Gastroesophageal-Junction	Esophagus-Mucosa	Esophagus-Muscularis	Fallopian-Tube	Heart-Atrial-Appendage	Heart-Left-Ventricle	Kidney-Cortex	Kidney-Medulla	Liver	Lung	Minor-Salivary-Gland	Muscle-Skeletal	Nerve-Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin-Not-Sun-Exposed	Skin-Sun-Exposed	Small-Intestine-Terminal-Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole-Blood
ENSG00000236679.2	RPL23AP24	0.0847423	0.0646951	0.0736981	0.142936	0.123436	0.136877	0.0862918	0.0650857	0.0777139	0.0636376	0.0995526	0.101023	0.0756962	0.0861662	0.0723894	0.0926046	0.0791308	0.0708691	0.112464	0.0685022	0.0674607	0.152828	0.0844181	0.123434	0	0.0983259	0	0.0962178	0	0.0922549	0.133455	0.0511285	0.0441002	0.0561057	0.0279807	0	0	0	0	0.112252	0.114394	0	0.0893302	0.0967904	0	0	0	0.0851459	0	0.195951	0	0.109488	0.0330492	0
ENSG00000269732.1	WBP1LP7	0	0	0.0972809	0	0	0	0	0.11057	0.0959607	0.106145	0.0799924	0.0675868	0.0920408	0.10325	0.122446	0.097373	0.110535	0.103854	0.0865886	0.102179	0	0	0	0	0	0	0.0776742	0.0640455	0	0	0	0.0888353	0.120318	0.0786397	0	0.0779819	0	0	0.082773	0	0	0	0	0.0872693	0	0	0	0	0	0	0	0	0	0
ENSG00000268663.1	WBP1LP6	0	0	0.0530494	0	0	0	0	0.0729303	0.0625403	0.0561309	0	0	0.0600053	0.0591017	0.0680873	0.0646099	0.0667593	0.0589403	0	0.0580396	0	0	0	0	0	0	0	0	0	0	0	0.0565636	0.0666622	0.043107	0.025407	0.0568998	0	0	0.0492536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274481.1	RP11-345P4.11	0	0	0	0	0	0	0	0.0590463	0.0599812	0.0496581	0	0	0.0674776	0.0622708	0.0627526	0.0711117	0.069268	0.0577923	0	0.0583064	0	0	0	0	0	0	0	0	0	0	0	0.0524595	0.0693858	0	0.0739269	0	0	0	0.0509052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229280.1	EEF1DP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232848.1	CTA-215D11.4	0.0439815	0	0	0.0485035	0.0508621	0.0645558	0.0710499	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043953	0.0598886	0.0748666	0.067714	0.0503448	0	0	0.0499038	0.0414307	0.0515801	0	0	0	0	0	0	0	0.0386985	0	0.0328962	0.10814	0.0246196	0.0320646	0.0450226	0.0604971	0.0531192	0	0	0.0396846	0.140691	0.106194	0	0.0523046	0
ENSG00000229716.2	RPL23AP19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238249.2	HMGN2P17	0.0606457	0.0528615	0.0372764	0.0671242	0.0769823	0.0830127	0.0548826	0.027143	0	0	0.0516047	0	0	0	0	0.0325773	0.0251436	0	0.0475846	0.0225327	0.0622221	0.0888363	0.152144	0.0729087	0.149273	0.0574946	0.0567845	0.048632	0.0424022	0.0464706	0.0455546	0	0	0.0228618	0.175505	0	0.0742828	0.0403809	0	0.0811987	0.105551	0	0.0796652	0.0710045	0.0595675	0.053567	0.0713456	0.126001	0	0.197725	0.101271	0.07384	0.0579317	0.115602
ENSG00000215785.2	CFL1P6	0.0627834	0	0.113351	0	0	0	0	0	0	0.0600113	0.164099	0.220172	0	0.0355339	0	0.0598403	0.0612471	0.0425701	0.0875086	0.0494949	0.0865587	0	0.0634789	0	0	0.0727051	0.102295	0.0651602	0.112076	0.0773965	0.108487	0	0	0.0620173	0.0262021	0.210724	0.0807897	0.196138	0	0.0931937	0	0.0469976	0.77494	0.235255	0.159541	0.227633	0.189734	0.351848	0.0777546	2.52576	0.149174	0	0.123856	0
ENSG00000224904.1	RP5-934G17.6	0.0301404	0.0537116	0	0.0406893	0.0281439	0.0302038	0	0	0	0.0195707	0.0555727	0.0681679	0.0147265	0.0120644	0.00920892	0	0.0352156	0.0190644	0.00977175	0	0.0280483	0	0	0	0.0302656	0.0193891	0	0.0277967	0	0.0277999	0.0389686	0.321284	0.0310237	0	0.0207808	0	0	0	0.122057	0.0300878	0	0	0.0248754	0.0305334	0	0	0	0.0221885	0	0.0486179	0.0548818	0.0372802	0	0
